cat,label,type,text
subj,主体,,小男孩
subj,主体,,小女孩
subj,主体,,青年
subj,主体,,老人
subj,主体,,士兵
subj,主体,,巫师
subj,主体,,科学家
subj,主体,,骑士
subj,主体,,舞者
subj,主体,,魔法师
subj,主体,,猫
subj,主体,,狗
subj,主体,,狮子
subj,主体,,老虎
subj,主体,,狼
subj,主体,,鸟
subj,主体,,鲸鱼
subj,主体,,龙
subj,主体,,狐狸
subj,主体,,熊
subj,主体,,樱花树
subj,主体,,大树
subj,主体,,仙人掌
subj,主体,,藤蔓
subj,主体,,荷花
subj,主体,,竹子
subj,主体,,向日葵
subj,主体,,玫瑰
subj,主体,,松树
subj,主体,,柳树
subj,主体,,石头
subj,主体,,宝剑
subj,主体,,古书
subj,主体,,水晶球
subj,主体,,魔法卷轴
subj,主体,,雕像
subj,主体,,桥
subj,主体,,灯塔
subj,主体,,船
subj,主体,,城堡
subj,主体,,小男孩
subj,主体,,小女孩
subj,主体,,青年
subj,主体,,老人
subj,主体,,士兵
subj,主体,,巫师
subj,主体,,科学家
subj,主体,,骑士
subj,主体,,舞者
subj,主体,,魔法师
subj,主体,,猫
subj,主体,,狗
subj,主体,,狮子
subj,主体,,老虎
subj,主体,,狼
subj,主体,,鸟
subj,主体,,鲸鱼
subj,主体,,龙
subj,主体,,狐狸
subj,主体,,熊
subj,主体,,樱花树
subj,主体,,大树
subj,主体,,仙人掌
subj,主体,,藤蔓
subj,主体,,荷花
subj,主体,,竹子
subj,主体,,向日葵
subj,主体,,玫瑰
subj,主体,,松树
subj,主体,,柳树
subj,主体,,石头
subj,主体,,宝剑
subj,主体,,古书
subj,主体,,水晶球
subj,主体,,魔法卷轴
subj,主体,,雕像
subj,主体,,桥
subj,主体,,灯塔
subj,主体,,船
subj,主体,,城堡
subj,主体,,小男孩
subj,主体,,小女孩
subj,主体,,青年
subj,主体,,老人
subj,主体,,士兵
subj,主体,,巫师
subj,主体,,科学家
subj,主体,,骑士
subj,主体,,舞者
subj,主体,,魔法师
subj,主体,,猫
subj,主体,,狗
subj,主体,,狮子
subj,主体,,老虎
subj,主体,,狼
subj,主体,,鸟
subj,主体,,鲸鱼
subj,主体,,龙
subj,主体,,狐狸
subj,主体,,熊
subj,主体,,樱花树
subj,主体,,大树
subj,主体,,仙人掌
subj,主体,,藤蔓
subj,主体,,荷花
subj,主体,,竹子
subj,主体,,向日葵
subj,主体,,玫瑰
subj,主体,,松树
subj,主体,,柳树
subj,主体,,石头
subj,主体,,宝剑
subj,主体,,古书
subj,主体,,水晶球
subj,主体,,魔法卷轴
subj,主体,,雕像
subj,主体,,桥
subj,主体,,灯塔
subj,主体,,船
subj,主体,,城堡
subj,主体,,小男孩
subj,主体,,小女孩
subj,主体,,青年
subj,主体,,老人
subj,主体,,士兵
subj,主体,,巫师
subj,主体,,科学家
subj,主体,,骑士
subj,主体,,舞者
subj,主体,,魔法师
subj,主体,,猫
subj,主体,,狗
subj,主体,,狮子
subj,主体,,老虎
subj,主体,,狼
subj,主体,,鸟
subj,主体,,鲸鱼
subj,主体,,龙
subj,主体,,狐狸
subj,主体,,熊
subj,主体,,樱花树
subj,主体,,大树
subj,主体,,仙人掌
subj,主体,,藤蔓
subj,主体,,荷花
subj,主体,,竹子
subj,主体,,向日葵
subj,主体,,玫瑰
subj,主体,,松树
subj,主体,,柳树
subj,主体,,石头
subj,主体,,宝剑
subj,主体,,古书
subj,主体,,水晶球
subj,主体,,魔法卷轴
subj,主体,,雕像
subj,主体,,桥
subj,主体,,灯塔
subj,主体,,船
subj,主体,,城堡
subj,主体,,小男孩
subj,主体,,小女孩
subj,主体,,青年
subj,主体,,老人
subj,主体,,士兵
subj,主体,,巫师
subj,主体,,科学家
subj,主体,,骑士
subj,主体,,舞者
subj,主体,,魔法师
subj,主体,,猫
subj,主体,,狗
subj,主体,,狮子
subj,主体,,老虎
subj,主体,,狼
subj,主体,,鸟
subj,主体,,鲸鱼
subj,主体,,龙
subj,主体,,狐狸
subj,主体,,熊
subj,主体,,樱花树
subj,主体,,大树
subj,主体,,仙人掌
subj,主体,,藤蔓
subj,主体,,荷花
subj,主体,,竹子
